user_id,item_id,rating,date
alice001,19,5,7/17/2025
alice001,22,4,7/17/2025
9b218e18-ff0e-43e3-a0d8-582014e4cd5a,26,4,2025-07-17
9b218e18-ff0e-43e3-a0d8-582014e4cd5a,25,3,2025-07-17
9b218e18-ff0e-43e3-a0d8-582014e4cd5a,27,4,2025-07-17
9b218e18-ff0e-43e3-a0d8-582014e4cd5a,22,3,2025-07-17
9b218e18-ff0e-43e3-a0d8-582014e4cd5a,23,1,2025-07-17
9b218e18-ff0e-43e3-a0d8-582014e4cd5a,24,5,2025-07-17
9b218e18-ff0e-43e3-a0d8-582014e4cd5a,21,4,2025-07-17
bob001,25,2,2025-07-18
bccb1f60-3ffc-4c8d-a95e-fe46c6a5ca29,26,4,2025-07-18
bccb1f60-3ffc-4c8d-a95e-fe46c6a5ca29,25,5,2025-07-18
bccb1f60-3ffc-4c8d-a95e-fe46c6a5ca29,22,3,2025-07-18
bccb1f60-3ffc-4c8d-a95e-fe46c6a5ca29,24,5,2025-07-18
bccb1f60-3ffc-4c8d-a95e-fe46c6a5ca29,19,4,2025-07-18
bccb1f60-3ffc-4c8d-a95e-fe46c6a5ca29,23,5,2025-07-18
bccb1f60-3ffc-4c8d-a95e-fe46c6a5ca29,27,3,2025-07-18
bob001,26,5,2025-07-23
bob001,24,4,2025-07-23
bob001,19,3,2025-07-23
bob001,20,4,2025-07-23
bob001,21,5,2025-07-23
bob001,23,3,2025-07-23
bob001,27,4,2025-07-23
bob001,22,5,2025-07-23
1b2bd291-cd49-4ead-9a69-5889b08cdb0d,31,4,2025-07-24
1b2bd291-cd49-4ead-9a69-5889b08cdb0d,32,5,2025-07-24
1b2bd291-cd49-4ead-9a69-5889b08cdb0d,33,3,2025-07-24
1b2bd291-cd49-4ead-9a69-5889b08cdb0d,34,4,2025-07-24
1b2bd291-cd49-4ead-9a69-5889b08cdb0d,35,2,2025-07-24
1b2bd291-cd49-4ead-9a69-5889b08cdb0d,44,5,2025-07-24
1b2bd291-cd49-4ead-9a69-5889b08cdb0d,39,4,2025-07-24
bob001,34,4,2025-07-26
bob001,31,5,2025-07-26
bob001,32,4,2025-07-26
bob001,33,3,2025-07-26
bob001,35,2,2025-07-26
bob001,38,4,2025-07-26
bob001,36,5,2025-07-26
bob001,37,3,2025-07-26
bob001,39,5,2025-07-26
bob001,40,4,2025-07-26
bob001,41,3,2025-07-26
bob001,42,5,2025-07-26
bob001,44,4,2025-07-26
